id;question;options;correctAnswer;Category
145;Which is one of the five aspects of service design?;['Management information systems and tools', 'Risk analysis and management approach', 'Management policy for business case creation', 'Corporate governance and policy'];Management information systems and tools;management
146;Which statement about IT service management is CORRECT?;['It is performed by customers using a mix of IT systems, services and processes', 'It is performed by IT service providers using a mix of suppliers and their products', 'It is performed by the service desk using a mix of people, process and technology', 'It is performed by IT service providers using a mix of people, process and technology'];It is performed by IT service providers using a mix of people, process and technology;management
147;Which is the CORRECT of the 'R' role in a RACI matrix?;['This role ensures that activities are executed correctly', 'This role has ownership of the end result', 'This role is involved in providing knowledge and input', 'This role ensures the flow of information to stakeholders'];This role has ownership of the end result;service
148;Which statement about change management is CORRECT?;['It optimizes overall business risk', 'It optimizes financial exposure', 'It ensures that all changes are authorized by the change advisory board (CAB)', 'It ensures that service requests follow the normal change management process'];It ensures that all changes are authorized by the change advisory board (CAB);management
149;Which statement about the 'four Ps' of service design is CORRECT?;['Processes refers to skill and training', 'Partners refers to suppliers and vendors', 'People refers to technology and tools', 'Products refers to producers and metrics'];Partners refers to suppliers and vendors;service
150;What is the primary focus of business capacity management?;['Management, control and prediction of the performance, utilization and capacity of individual elements of IT technology', 'Review of all capacity supplier agreements and underpinning contracts with supplier management', 'Management, control and prediction of the end-to-end performance and capacity of the live, operational IT services', 'Future business requirements for IT services are quantified, designed, planned and implemented in a timely fashion'];Future business requirements for IT services are quantified, designed, planned and implemented in a timely fashion;management
151;Which is NOT a structure of service desk that is described in the ITIL service operation guidance?;['Local', 'Centralized', 'Outsourced', 'Virtual'];Outsourced;service desk
152;What type of change is pre-authorized, low risk, relatively common, and follows a procedure or work instruction?;['A standard change', 'An emergency change', 'An internal change', 'A normal change'];A standard change;chenge
153;Which service transition process provides guidance about converting data into information?;['Change evaluation', 'Knowledge management', 'Service validation and testing', 'Service asset and configuration management'];Knowledge management;management
154;Which service catalogue view is considered beneficial when constructing the relationship between services, SLAs, OLAs, and other underpinning agreements?;['Service-based SLA view', 'Wholesale customer view', 'Retail customer view', 'Supporting services view'];Supporting services view;service
155;Service transition contains detailed descriptions of which processes?;['Change management, service asset and configuration management, release and deployment management', 'Change management, capacity management, event management, service request management', 'Service level management, service portfolio management, service asset and configuration management', 'Service asset and configuration management, release and deployment management, request fulfillment'];Change management, service asset and configuration management, release and deployment management;management
156;Which is an objective of the design coordination process?;['To produce service design packages and ensure they are handed over to service transition', 'To assess and evaluate all changes and their impact on service designs', 'To document the initial structure and relationship between services and customers', 'To gather and document new service level requirements from the customer'];To produce service design packages and ensure they are handed over to service transition;service
157;What MAIN factors are considered to assess the priority of an incident?;['The urgency and impact', 'The impact and complexity', 'The cost and urgency', 'The complexity and cost'];The urgency and impact;problem/incident/emergency
158;Which term is used to describe the prediction and control of income and expenditure within an organization?;['Charging', 'Governance', 'Budgeting', 'Accounting'];Budgeting;service
159;Where should all master copies of controlled software and documentation be stored?;['In the definitive capacity library', 'In the definitive media library', 'In the definitive security library', 'In the definitive production library'];In the definitive media library;service
160;Which stage of the service lifecycle has the purpose of looking for ways to improve process efficiency and cost effectiveness?;['Service operation', 'Service transition', 'Continual service improvement', 'Service strategy'];Continual service improvement;service
161;Which of the following should IT service continuity strategy be based on?<br>1. Design of the service metrics<br>2. Business continuity strategy<br>3. Business impact analysis (BIA)<br>4. Risk assessment;['1, 2 and 4 only', '1, 2 and 3 only', '2, 3 and 4 only', '1, 3 and 4 only'];2, 3 and 4 only;service
162;What is NOT within the scope of service catalogue management?;['Contribution to the definition of services', 'Interfaces between all services and supporting services', 'Interfaces between the service catalogue and service portfolio', 'Fulfilment of business service requests'];Fulfilment of business service requests;service desk
163;What three elements make up the Service Portfolio?;['Customer portfolio, service catalogue and retired services', 'Customer portfolio, configuration management system and service catalogue', 'Service pipeline, service catalogue and retired services', 'Service pipeline, configuration management system and service catalogue'];Service pipeline, service catalogue and retired services;service
164;Who is responsible for defining metrics for change management?;['The change management process owner', 'The change advisory board (CAB)', 'The service owner', 'The continual service improvement manager'];The change management process owner;management
165;Which is a supplier category?;['Technical', 'Commodity', 'Customer', 'Resource'];Resource;service
166;Which process is used to compare the value that new services offer with the value of the services they have replaced?;['Availability management', 'Capacity management', 'Service portfolio management', 'Service catalogue management'];Service portfolio management;management
167;Which is an important principle of communication in service operation?;['Information should always be communicated', 'It has an intended purpose or a resultant action', 'Meetings are always the best method of communication', 'It is stored in the configuration management system'];It has an intended purpose or a resultant action;service
168;What do customer perceptions and business outcomes help to define?;['The value of a service', 'Service metrics', 'The total cost of a service', 'Key performance indicators (KPIs)'];The value of a service;value chain
169;Which statement about metrics is CORRECT?;"['Process metrics can be used to measure end-to-end service performance', 'Technology metrics can be used to measure component performance and availability', ""Process metrics can be used to measure the utilization of a supplier's network"", 'Technology metrics can be used to determine the overall health of a process']";Technology metrics can be used to measure component performance and availability;service
170;"What takes place in the ""Did we get there?"" step of the continual service improvement (CSI) approach?";['An initial baseline assessment', 'The production of a detailed CSI plan', 'Verifying that improvement targets have been achieved', 'Understanding priorities for improvement'];Verifying that improvement targets have been achieved;service
171;Which is an example of improving service utility using service management automation?;['Pre-determined routing of a service request', 'Reducing the time to compile service data', 'Monitoring service availability', 'Faster resource allocation'];Faster resource allocation;management
172;What is the CORRECT definition of service management?;['A set of specialized assets for transitioning services into the live operational environment', 'A set of specialized organizational capabilities for delivering value to customers in the form of services', 'The capability of supplier to deliver services to providers in exchange for money', 'The capability of service providers to minimize their costs without reducing the value of the services'];A set of specialized organizational capabilities for delivering value to customers in the form of services;value chain
173;Which is the correct combination of items that makes up an IT service?;['Customers, providers and documents', 'Information technology, people and processes', 'Information technology, networks and people', 'People, processes and customers'];Information technology, people and processes;service
174;Which problem management activity ensures that a problem can be easily tracked and management information can be obtained?;['Categorization', 'Detection', 'Prioritization', 'Escalation'];Categorization;problem/incident/emergency
175;What can be used to help determine the impact level of a problem?;['Definitive media library (DML)', 'Configuration management system (CMS)', 'Statement of requirements (SOR)', 'Standard operating procedures (SOP)'];Configuration management system (CMS);problem/incident/emergency
176;Which are phases of the release and deployment process?<br>1. Release build and test<br>2. Review and close<br>3. Categorize and record<br>4. Change authorization and schedule;['1 and 2', '1 and 3', '2 and 4', '3 and 4'];1 and 2;chenge
177;Which function is responsible for the management of a data centre?;['Technical management', 'Service desk', 'Application management', 'Facilities management'];Facilities management;management
178;Which are the elements of process control?;['Inputs, outputs and triggers', 'Work instructions, procedures and roles', 'Resources, capabilities and metrics', 'Process owner, policy and objectives'];Process owner, policy and objectives;service
179;Which processes are responsible for the regular review of underpinning contracts?;['Supplier management and service level management', 'Supplier management and change management', 'Availability management and service level management', 'Supplier management and availability management'];Supplier management and service level management;management
180;Which statement BEST describes the value of service strategy to the business?;['It allows higher volumes of successful change', 'It reduces unplanned costs through optimized handling of service outages', 'It reduces the duration and frequency of service outages', 'It enables the service provider to understand what levels of service will make their customers successful'];It enables the service provider to understand what levels of service will make their customers successful;service
181;What is a definition of a service improvement plan (SIP)?;"[""A formal plan to implement improvements to a customer's business processes"", 'An input from availability management to service level management, detailing the service design plan', 'A formal plan to implement improvements to a service or process', 'An input from financial management for IT services to service level management, detailing the budget plan']";A formal plan to implement improvements to a service or process;service
182;Which statement about the known error database (KEDB) is CORRECT?;['It is maintained by the service desk and updated with the details of each new incident', 'It is a part of the configuration management database (CMDB) and contains workarounds', 'It is maintained by problem management and is used by the service desk to help resolve incidents', 'It is maintained by incident management and contains solutions to be implemented by problem management'];It is maintained by problem management and is used by the service desk to help resolve incidents;problem/incident/emergency
183;Which process works with incident management to ensure that security breaches are detected and logged?;['Change management', 'Service level management', 'Access management', 'Continual service improvement'];Access management;problem/incident/emergency
184;What should a release policy include?;['The process owner and process manager for each type of release', 'The roles and responsibilities for incident and problem resolution', 'The naming convention and expected frequency of each type of release', 'The naming convention for all configuration items (CI) recorded in the configuration management system (CMS)'];The naming convention and expected frequency of each type of release;service
185;Which guiding principle is PRIMARILY concerned with end-to-end service delivery?;['Focus on value', 'Think and work holistically', 'Optimize and automate', 'Collaborate and promote'];Think and work holistically;guiding principle
186;What is the purpose of the 'problem management' practice?;"['To protect the information needed by the organization to conduct its business', 'To reduce the likelihood and impact of incidents by identifying actual and potential causes of incidents, and managing workarounds and known errors', ""To align the organization's practices and services with changing business needs through the ongoing identification and improvement of services"", 'To minimize the negative impact of incidents by restoring normal service operation as quickly as possible']";To reduce the likelihood and impact of incidents by identifying actual and potential causes of incidents, and managing workarounds and known errors;problem/incident/emergency
187;Which practice would help a user gain access to an application that they need to use?;['Service configuration management', 'Change enablement', 'Service request management', 'Service level management'];Change enablement;chenge
188;Why should some service requests be fulfilled with no additional approvals?;['To ensure that spending is properly accounted for', 'To ensure that information security requirements are met', 'To streamline the fulfillment workflow', 'To set user expectations for fulfillment times'];To streamline the fulfillment workflow;service
189;Which is a purpose of the 'service desk' practice?;['To minimize the negative impact of incidents by restoring normal service operation as quickly as possible', 'To be the entry point and single point of contact for the service provider with all of its users', 'To support the agreed quality of a service by handling all pre-defined, user-initiated service requests', 'To establish and nurture the links between the organization and its stakeholders at strategic and tactical levels'];To be the entry point and single point of contact for the service provider with all of its users;service desk
190;Which are elements of the service value system?;['Service provision, service consumption, service relationship management', 'Governance, service value chain, practices', 'Outcomes, utility, warranty', 'Customer value, stakeholder value, organization'];Governance, service value chain, practices;value chain
191;What is defined as an unplanned interruption or reduction in the quality of a service?;['An incident', 'A problem', 'A change', 'An event'];An incident;problem/incident/emergency
192;Which statement about the use of measurement in the 'start where you are' guiding principle is CORRECT?;['It should always be used to support direct observation', 'It should always be used instead of direct observation', 'Measured data is always more accurate than direct observation', 'The act of measuring always positively impacts results'];It should always be used to support direct observation;guiding principle
193;What is an incident?;['The planned removal of an item that might affect a service', 'A result enabled by one or more outputs', 'A possible future event that could cause harm', 'A service interruption resolved by the use of self-help tools'];A service interruption resolved by the use of self-help tools;problem/incident/emergency
194;What is defined as a change of state that has significate for the management of an IT service?;['Event', 'Incident', 'Problem', 'Known error'];Event;management
195;Which dimension includes the knowledge needed for the management of services?;['Organizations and people', 'Value streams and processes', 'Information and technology', 'Partners and suppliers'];Organizations and people;management
196;What is a set of specialized organizational capabilities for enabling value for customers in the form of services?;['Service offering', 'Service provision', 'Service management', 'Service consumption'];Service management;management
197;What is the PRIMARY use of a change schedule?;"[""To support the 'incident management' practice and improvement planning"", 'To manage emergency changes', 'To plan changes and help avoid conflicts', 'To manage standard changes']";To plan changes and help avoid conflicts;chenge
198;What are guiding principles?;['A set of interconnected activities that help an organization deliver a valuable service', 'A description of one or more services that help address the needs of a target consumer group', 'A set of specialized organizational capabilities for enabling value for customers', 'Recommendations that help an organization when adopting a service management approach'];Recommendations that help an organization when adopting a service management approach;management
199;Which guiding principle focuses on reducing costs and human errors?;['Focus and value', 'Collaborate and promote visibility', 'Optimize and automate', 'Think and work holistically'];Optimize and automate;guiding principle
200;What is the purpose of the 'incident management' practice?;['To minimize the negative impact of incidents by restoring normal service operation as quickly as possible', 'To capture demand for incident resolution and service requests', 'To reduce the likelihood and impact of incidents by identifying actual and potential causes of incidents', 'To support the agreed service quality by effective handling of all agreed user-initiated service requests'];To minimize the negative impact of incidents by restoring normal service operation as quickly as possible;problem/incident/emergency
201;Which practice makes new services available for use?;['Change enablement', 'Release management', 'Deployment management', 'IT asset management'];Release management;management
202;Which guiding principle considers the importance of customer loyalty?;['Progress iteratively with feedback', 'Focus on value', 'Optimize and automate', 'Start where you are'];Focus on value;guiding principle
203;Which guiding principle helps to ensure that each improvement effort has more focus and is easier to maintain?;['Start where you are', 'Collaborate and promote visibility', 'Progress iteratively with feedback', 'Think and work holistically'];Progress iteratively with feedback;guiding principle
204;Which is a key activity carried out in the 'did we get there?' step of the 'continual improvement' model?;['Define measurable targets', 'Perform baseline assessments', 'Execute improvement actions', 'Evaluate measurements and metrics'];Evaluate measurements and metrics;guiding principle
205;What is important for a 'continual improvement register' (CIR)?;['Improvement ideas are documented, assessed and prioritized', 'Improvement ideas from many sources are kept in a single CIR', 'Improvement ideas that are not being actioned immediately are removed from the CIR', 'Improvement ideas are tested, funded and agreed'];Improvement ideas are documented, assessed and prioritized;guiding principle
206;What can a service remove from the consumer and impose on the consumer?;['Utility', 'Asset', 'Cost', 'Outcome'];Cost;service
207;In which step of the 'continual improvement model' is an improvement plan implemented?;['What is the vision?', 'How do we get there?', 'Take action', 'Did we get there?'];Take action;guiding principle
208;Which is a purpose of the 'service level management' practice?;"['To establish and nurture the links between the organization and its stakeholders', ""To ensure that the organization's suppliers and their performance are managed appropriately"", 'To set clear business-based targets for service levels', 'To support the agreed quality of a service handling all agreed, user-initiated service requests']";To set clear business-based targets for service levels;management
209;Which is an example of a business related measurement?;['The number of passengers checked in', 'The average time to response to change requests', 'The average resolution time for incidents', 'The number of problems resolved'];The number of passengers checked in;service
210;What describes the steps needed to create and deliver a specific service to a consumer?;['Service management', 'Practices', 'A value stream', 'Service level management'];A value stream;value chain
211;Which statement about the automation of service requests is CORRECT?;['Service requests that cannot be automated should be handled as incidents', 'Service requests and their fulfillment should be automated as much as possible', 'Service requests that cannot be automated should be handled as problems', 'Service requests and their fulfillment should be carried out by service desk staff without automation'];Service requests and their fulfillment should be automated as much as possible;service
212;Identify the missing word in the following sentence.<br>A user is [?] that uses services.;['an organization', 'a role', 'a team', 'a supplier'];a role;service
213;Which gives a user access to a system?;['Service requirement', 'Service agreement', 'Service consumption', 'Service provision'];Service provision;service
214;What is a change schedule PRIMARILY used for?;['To help plan, authorize and schedule emergency changes', 'To publish a list of service requests that users can select', 'To ensure that a single change authority reviews every change', 'To help plan changes, assist in communication and avoid conflicts'];To help plan changes, assist in communication and avoid conflicts;chenge
215;What is used to link activities within the service value chain?;['Service level agreements', 'Inputs, outputs and triggers', 'Opportunity, demand and value', 'Service desk'];Opportunity, demand and value;value chain
216;Which describes the utility of a service?;['A service that is fit for use', 'A service that meets its service level targets', 'A service that increases constraints on the consumer', 'A service that supports the performance of the consumer'];A service that supports the performance of the consumer;service
217;Which two practices use workarounds?;['Change enablement and continual improvement', 'Change enablement and problem management', 'Problem management and incident management', 'Incident management and continual improvement'];Problem management and incident management;problem/incident/emergency
218;Which statement about the 'change enablement' practice is CORRECT?;['Standard changes are those that need to be scheduled, assessed and authorized following a standard process', 'Normal changes are triggered by the creation of a change request which can be created manually or automated', 'Assessment and authorization of normal changes should be expedited to ensure they can be implemented quickly', 'There should be a separate change authority for standard changes which includes senior managers who understand the risks involved'];Normal changes are triggered by the creation of a change request which can be created manually or automated;chenge
219;Which is included in the purpose of the 'deliver and support' value chain activity?;"['Meeting stakeholder expectations for time to market', ""Understanding the organization's service vision"", 'Understanding stakeholder needs', 'Providing services to agreed specifications']";Meeting stakeholder expectations for time to market;value chain
220;What must always be done before an activity is automated?;['Check that the activity has already been optimized', 'Check that suitable new technology has been purchased', 'Ensure that DevOps has been successfully implemented', 'Ensure the solution removes the need for human intervention'];Check that the activity has already been optimized;service
221;What is a change schedule used for?;['To help plan emergency changes', 'To help authorize standard changes', 'To help assign a change authority', 'To help manage normal changes'];To help manage normal changes;chenge
222;Which ITIL practice recommends performing service reviews to ensure that services continue to meet the needs of the organization?;['Service desk', 'Service request management', 'Service level management', 'Service configuration management'];Service level management;management
223;Which role approves the cost of services?;['User', 'Change authority', 'Sponsor', 'Customer'];Sponsor;service
224;What actions does a service desk take for all issues, queries and requests that are reported to them?;['Schedule, assess, authorize', 'Diagnose, investigate, resolve', 'Initiate, approve, fulfill', 'Acknowledge, classify, own'];Initiate, approve, fulfill;service desk
225;Which is an external input to the service value chain?;"[""The 'improve' value chain activity"", 'An overall plan', 'Customer requirements', 'Feedback loops']";Customer requirements;value chain
226;Which is included in the purpose of the 'service level management' practice?;['To maximize the number of successful service and product changes', 'To ensure accurate information about the configuration of services is available', 'To set clear business-based targets for service levels', 'To ensure that suppliers and their performance are managed appropriately'];To set clear business-based targets for service levels;management
227;Which usually requires a team of representatives from many stakeholder groups?;['Fulfilling a service request', 'Authorizing an emergency change', 'Logging a new problem', 'Investigating a major incident'];Investigating a major incident;problem/incident/emergency
228;Which value chain activity ensures that service components meet agreed specifications?;['Plan', 'Design and transition', 'Obtain/build', 'Deliver and support'];Obtain/build;value chain
229;Which ITIL practice has the purpose to establish and nurture the links between the organization and its stakeholders at strategic and tactical levels?;['Supplier management', 'Change enablement', 'Relationship management', 'Service desk'];Relationship management;management
230;What includes governance as a component?;['Practices', 'The service value chain', 'The service value system', 'The guiding principles'];The service value system;value chain
231;Which practice needs people who understand complex systems and have creative and analytical skills?;['Change enablement', 'Service level management', 'Service request management', 'Problem management'];Problem management;problem/incident/emergency
232;What is the definition of a known error?;['An unplanned interruption to a service, or reduction in the quality of a service', 'A cause, or potential cause, of one or more incidents', 'A problem that has been analyzed and has not been resolved', 'Any change of state that has significance for the management of a service or other configuration item (CI)'];A problem that has been analyzed and has not been resolved;problem/incident/emergency
233;Which will NOT be handled as a service request?;['The degradation of a service', 'The replacement of a toner cartridge', 'The provision of a laptop', 'A complaint about a support team'];The degradation of a service;service
234;What are typically recognized through notifications created by an IT service, CI or monitoring tool?;['Incidents', 'Problems', 'Events', 'Requests'];Events;service
235;Which dimension considers data security and privacy?;['Organizations and people', 'Information and technology', 'Partners and suppliers', 'Value streams and processes'];Information and technology;service
236;Which term relates to service levels aligned with the needs of service consumers?;['Service management', 'Warranty', 'Cost', 'Utility'];Warranty;service
237;Which directly assists with the diagnosis and resolution of simple incidents?;['Scripts for collecting user information', 'Use of shift working patterns', 'Fulfillment of service requests', 'Creation of a temporary team'];Scripts for collecting user information;problem/incident/emergency
238;Which approach is CORRECT when applying the guiding principle 'keep it simple and practical'?;['Only add controls and metrics when they are needed', 'Design controls and metrics first, then remove those not adding value', 'Design controls and metrics and add them individually until all are implemented', 'Only add controls and metrics that are required for compliance'];Design controls and metrics first, then remove those not adding value;guiding principle
239;Which practice forms a link between the service provider and the users of services?;['Change enablement', 'Service level management', 'Problem management', 'Service desk'];Service desk;service desk
240;Which is a purpose of release management?;"[""To protect the organization's information"", 'To handle user-initiated service requests', 'To make new and changed services available for use', 'To move hardware and software to live environments']";To make new and changed services available for use;management
241;What is recommended by the guiding principle 'progress iteratively with feedback'?;['A current state assessment that is carried out at the start of an improvement initiative', 'The identification of all interested parts at the start of an improvement initiative', 'An improvement initiative that is broken into a number of manageable sections', 'An assessment of how all the parts of an organization will affect an improvement initiative'];An improvement initiative that is broken into a number of manageable sections;guiding principle
242;Which guiding principle considers customer and user experience?;['Collaborate and promote visibility', 'Focus on value', 'Start where you are', 'Keep it simple and practical'];Focus on value;guiding principle
243;Which statement about the 'change enablement' practice is CORRECT?;['Service requests are usually normal changes that can be implemented quickly without authorization', 'Emergency changes are changes that must be fully tested and fully documented prior to implementation', 'Standard changes are changes that need to be scheduled, assessed and authorized following a standard process', 'Emergency changes are changes that must be implemented as soon as possible and therefore authorization is expedited'];Emergency changes are changes that must be implemented as soon as possible and therefore authorization is expedited;problem/incident/emergency
244;Which of these activities is carried out as part of 'problem management'?;['Creating incident records', 'Diagnosing and resolving incidents', 'Escalating incidents to a support team for resolution', 'Trend analysis of incident records'];Trend analysis of incident records;problem/incident/emergency
245;What does 'change enablement' PRIMARILY focus on?;['Changes to service levels', 'Changes to products and services', 'Changes to organizational structure', 'Changes to skills and competencies'];Changes to products and services;chenge
246;Identify the missing word(s) in the following sentence.<br>The service desk should be the entry point and single point of contact for the [?] with all of its users.;['Service consumer', 'Service provider', 'Customer', 'Supplier'];Service provider;service desk
247;Which is handled as a service request?;['An investigation to identify the cause of an incident', 'A compliment about an IT support team', 'The failure of an IT service', 'An emergency change to implement a security patch'];The failure of an IT service;service
248;Which is a key requirement for a successful service level agreement (SLA)?;['Using individual metrics that relate to the service catalogue', 'Using bundled metrics to relate performance to outcomes', 'Using single-system-based metrics that relate to outputs', 'Using an agreement between the service provider and service supplier'];Using bundled metrics to relate performance to outcomes;service
249;Which is considered by the 'partners and suppliers' dimension?;['Using artificial intelligence', 'Defining controls and procedures', 'Using formal roles and responsibilities', 'Working with an integrator to manage relationships'];Working with an integrator to manage relationships;service
250;Which practice recommends using tools for collaboration and the automated matching of symptoms?;['Problem management', 'Service level management', 'Incident management', 'Service request management'];Incident management;problem/incident/emergency
251;Which helps to manage an incident when it is unclear which support team should be working on the incident?;['Disaster recovery plans', 'Swarming', 'Target resolution times', 'Self-help'];Swarming;problem/incident/emergency
252;Which statement about the 'continual improvement' practice is CORRECT?;['Continual improvement participation should be limited to a small dedicated team.', 'It is the role of senior management to authorize improvement initiatives.', 'Training should be provided to those involved in continual improvement.', 'A single continual improvement register should be maintained by senior management.'];It is the role of senior management to authorize improvement initiatives.;management
253;Which does the ITIL service value system discourage?;['Coordinated authorities and responsibilities', 'Organizational silos', 'Interfaces among practices', 'Organizational agility'];Organizational silos;service
254;An SLA is a service level agreement. Which describes the 'watermelon SLA' effect?;"[""A single SLA defines target service levels for multiple customer, so every customer sees reports about other customers' experiences."", 'The metrics in an SLA are focused on internal measures, so that reports show everything is good, while the customer is not satisfied.', 'SLA targets change very frequently, so that each report includes new measures and trends cannot be analyzed.', 'Introducing SLAs for a service enables customer to see that the service provider is doing a really good job, so this improves satisfaction.']";The metrics in an SLA are focused on internal measures, so that reports show everything is good, while the customer is not satisfied.;service
255;Which practice includes conducting regular reviews to ensure that services are still appropriate and relevant?;['Service level management', 'Service desk', 'Continual improvement', 'Change enablement'];Service level management;management
256;What is a service?;['A possible event that could cause harm or loss, or make it more difficult to achieve objectives', 'A means of enabling value co-creation by facilitating outcomes that customers want to achieve, without the customer having to manage specific costs and risks', 'A tangible or intangible deliverable of an activity', 'Joint activities performed by a service provider and a service consumer to ensure continual value co- creation based on agreed and available service offerings'];A means of enabling value co-creation by facilitating outcomes that customers want to achieve, without the customer having to manage specific costs and risks;value chain
257;Which TWO are important aspects of the 'service request management' practice?<br>1. Standardization and automation<br>2. Providing a variety of channels for access<br>3. Establishing a shared view of targets<br>4. Policies for approvals;['1 and 2', '2 and 3', '3 and 4', '1 and 4'];1 and 2;management
258;What is required by all service desk staff?;['Excellent technical knowledge', 'Root cause analysis skills', 'Demonstration of emotional intelligence', 'Knowledge of telephony technology'];Demonstration of emotional intelligence;service desk
259;Which practice establishes a channel between the service provider and its users?;['Relationship management', 'Change enablement', 'Supplier management', 'Service desk'];Service desk;service desk
260;Which practice includes the use of approaches such as Lean, Agile and DevOps with the aim of facilitating a greater amount of change at a quicker rate?;['Service desk', 'Monitoring and event management', 'Service level management', 'Continual improvement'];Service level management;management
261;Which practice has a purpose that includes maximizing success by ensuring that risks have been properly assessed?;['Relationship management', 'Change control', 'Release management', 'Monitoring and event management'];Change control;chenge
262;Which practice provides users with a way to get various requests arranged, explained and coordinated?;['Service level management', 'Relationship management', 'Continual improvement', 'Service desk'];Service desk;service desk
263;Which helps to streamline the fulfilment of service requests?;['Understanding which service requests can be accomplished with limited approvals', 'Creating new workflows for every service request', 'Separating requests relating to service failures from the degradation of services', 'Eliminating service requests which have complex workflows'];Understanding which service requests can be accomplished with limited approvals;service
264;Which statement about outcomes is CORRECT?;['They are deliverables provided to service consumers.', 'They allow service consumers to achieve a desired result.', 'They provide products to service providers based on outputs.', 'The co-create value for service providers by reducing costs and risks.'];They allow service consumers to achieve a desired result.;service
265;Which guiding principle says that services and processes should NOT provide a solution for every exception?;['Keep it simple and practical', 'Think and work holistically', 'Optimize and automate', 'Collaborate and promote visibility'];Keep it simple and practical;guiding principle
266;Identify the missing word in the following sentence.<br>The purpose of the 'supplier management' practice is to ensure that the organization's suppliers and their performances are [?] appropriately to support the seamless provision of quality products and services.;['measured', 'rewarded', 'managed', 'defined'];managed;management
267;Identify the missing word in the following sentence.<br>The purpose of the service configuration management practice is to ensure that accurate and reliable information about the [?], and the CIs that support them, is available when and where it is needed.;['relationships with suppliers', 'configuration of services', 'skills of people', 'authorization of changes'];configuration of services;management
268;Which practice requires skills and competencies related to business analysis, supplier management and relationship management?;['Monitoring and event management', 'Incident management', 'Service level management', 'IT asset management'];Service level management;management
269;When should a workaround be created?;['As soon as possible, once the incident is logged', 'After the resolution of a problem', 'When a problem cannot be resolved quickly', 'When a potential permanent solution has been identified'];When a problem cannot be resolved quickly;problem/incident/emergency
270;What is a configuration item?;['Any financially valuable component that can contribute to delivery of an IT product or service', 'Any component that needs to be managed in order to deliver an IT service', 'Any change of state that has significance for the management of a service', 'A problem that has been analyzed but has not been resolved'];Any component that needs to be managed in order to deliver an IT service;service
271;Identify the missing words in the following sentence.<br>When an organization has decided to improve a service, it should start by considering [?].;['existing information', 'new methods', 'additional measurements', 'revised processes'];existing information;service
272;Which is a use of the change schedule?;['Assigning resources to changes', 'Deciding the approval authority for changes', 'Automating the change process', 'Creating change models'];Assigning resources to changes;chenge
273;Which dimension of service management considers the workflows and controls needed to deliver services?;['Organization and people', 'Information and technology', 'Partners and suppliers', 'Value streams and processes'];Value streams and processes;value chain
274;Which guiding principle considers how the steps of a process can be performed as efficiently as possible?;['Start where you are', 'Focus on value', 'Think and work holistically', 'Optimize and automate'];Optimize and automate;guiding principle
275;Which statement about the 'incident management' practice is CORRECT?;['It identifies the cause of major incidents.', 'It authorizes changes to resolve incidents.', 'It maintains detailed procedures for diagnosing incidents.', 'It resolves the highest impact incidents first.'];It resolves the highest impact incidents first.;problem/incident/emergency
276;How should an organization prioritize incidents?;['Ask the user for their preferred resolution timeframe.', 'Assess the availability of the appropriate support team.', 'Use an agreed classification which is based on the business impact of the incident.', 'Create an order of incidents based on the dates and times when they were logged.'];Use an agreed classification which is based on the business impact of the incident.;problem/incident/emergency
277;Which is a purpose of the 'relationship management' practice?;['To systematically observe services and service components', 'To protect the information needed by the organization to conduct its business', 'To be the entry point and single point of contact for the service provider with all of its users', 'To identify, analyze, monitor, and continually improve links with stakeholders'];To identify, analyze, monitor, and continually improve links with stakeholders;management
278;Which statement about problems is CORRECT?;['Problems are not related to incidents.', 'Problems must be resolved quickly in order to restore normal business activity.', 'Problem analysis should focus on one of the four dimensions to achieve a fast diagnosis.', 'Problem prioritization involves risk assessment.'];Problem prioritization involves risk assessment.;problem/incident/emergency
279;Which is a risk that might be removed from a service consumer by an IT service?;['Service provider ceasing to trade', 'Security breach', 'Failure of server hardware', 'Cost of purchasing servers'];Security breach;service
280;Which is one of the MAIN concerns of the 'design and transition' value chain activity?;"[""Understanding the organization's vision"", 'Understanding stakeholder needs', 'Meeting stakeholder expectations', 'Ensuring service components are available']";Meeting stakeholder expectations;value chain
281;Which is a result of applying the guiding principle 'progress iteratively with feedback'?;"['The ability to discover and respond to failure earlier', 'Standardization of practices and services', ""Understanding the customer's perception of value"", 'Understanding the current state and identifying what can be reused']";The ability to discover and respond to failure earlier;guiding principle
282;Which practice is responsible for moving new or changed components to live or other environments?;['Release management', 'Deployment management', 'Change enablement', 'Supplier management'];Deployment management;management
283;Which should be handled by 'service request management'?;['A request to implement a security patch', 'A request to provide a laptop', 'A request to resolve an error in a service', 'A request to change a target in a service level agreement'];A request to provide a laptop;service desk
284;What can help to reduce resistance to a planned improvement when applying the guiding principle 'collaborate and promote visibility'?;['Restricting information about the improvement to essential stakeholders only.', 'Increasing collaboration and visibility for the improvement.', 'Involving customers after all planning has been completed.', 'Engaging every stakeholder group in the same way, with the same communication.'];Involving customers after all planning has been completed.;guiding principle
285;What can be described as an operating model for the creating and management of products and services?;['Governance', 'Service value chain', 'Guiding principles', 'Practices'];Service value chain;value chain
286;What is a definition of a problem?;['An unplanned interruption to a service, or reduction in the quality of a service', 'A cause, or potential cause, of one or more incidents', 'An incident for which a full resolution is not yet available', 'Any change of state that has significance for the management of a configuration item (CI)'];A cause, or potential cause, of one or more incidents;problem/incident/emergency
